Model,Accuracy,Macro_F1,CV_Macro_F1_Mean,CV_Macro_F1_STD
Logistic Regression Balanced,0.9909233176838811,0.943266430126676,0.9301704979666215,0.028694064546816597
Logistic Regression,0.994679186228482,0.9132600194095152,0.9324387925652816,0.0262466266710069
SVM,0.984037558685446,0.8677390626963533,0.8967593360693955,0.03215315538736556
KNN,0.929264475743349,0.8059068741482366,0.8337454667615992,0.0358938117916644
Gradient Boosting,0.9527386541471049,0.7716760385448186,0.8379934856689424,0.041930321125285
Random Forest,0.9323943661971831,0.7575718519371275,0.805416600933231,0.05487013080611491
