iter	MultiClass
0	1.031455309
1	0.9676060295
2	0.9064364262
3	0.8538555518
4	0.8102964493
5	0.7628514743
6	0.7288726707
7	0.6984923301
8	0.6603997679
9	0.6308240544
10	0.6026768871
11	0.5751052387
12	0.5507429258
13	0.5277747046
14	0.5051749886
15	0.4842018127
16	0.463073143
17	0.4458625375
18	0.4282334381
19	0.4136357309
20	0.3980134961
21	0.3845431534
22	0.3697105142
23	0.3584885439
24	0.3482019471
25	0.3381443181
26	0.3260624573
27	0.316442128
28	0.3079006812
29	0.2993299838
30	0.2914999686
31	0.2838092284
32	0.2749777626
33	0.2663281943
34	0.2601331116
35	0.2530995597
36	0.2462082943
37	0.2406219447
38	0.2332430115
39	0.2287078448
40	0.2232872726
41	0.2175880171
42	0.2130026447
43	0.2077373077
44	0.2037621303
45	0.1992606376
46	0.1963646528
47	0.191986689
48	0.1878520076
49	0.1834743043
50	0.1796415581
51	0.1773015401
52	0.1741104069
53	0.1716490897
54	0.1705829983
55	0.1675468313
56	0.1641399527
57	0.162842524
58	0.1600231947
59	0.1574352243
60	0.1554353249
61	0.1537888863
62	0.1513166671
63	0.1489148114
64	0.1469877089
65	0.1440668037
66	0.1413714289
67	0.1396478474
68	0.1372662764
69	0.1351409422
70	0.1337302012
71	0.132215435
72	0.1313482788
73	0.1297894605
74	0.1293920006
75	0.1276225063
76	0.1255589547
77	0.1230601087
78	0.1219948879
79	0.1198745549
80	0.1180497864
81	0.1173794235
82	0.1158581633
83	0.114170233
84	0.1128660324
85	0.1115793447
86	0.1106738346
87	0.1095063608
88	0.108636745
89	0.1082713082
90	0.1067951252
91	0.1056088928
92	0.1047548857
93	0.104353497
94	0.1039086961
95	0.1036209841
96	0.1022710569
97	0.1020917438
98	0.1013963038
99	0.1011536484
100	0.1005246606
101	0.09968719004
102	0.09871338557
103	0.09842266032
104	0.0972881175
105	0.09674628217
106	0.09578199324
107	0.09552009085
108	0.0947461506
109	0.09378203784
110	0.09355900569
111	0.09263100957
112	0.09158027384
113	0.09095325825
114	0.09062816025
115	0.09001594645
116	0.08986916513
117	0.08902881112
118	0.08804974432
119	0.08717543696
120	0.08695445286
121	0.08666393158
122	0.08615486582
123	0.08594267363
124	0.08570485878
125	0.08482303536
126	0.0846203577
127	0.08412649507
128	0.08389304206
129	0.08305891162
130	0.08267322547
131	0.08169174019
132	0.08124146508
133	0.08080446478
134	0.08065475162
135	0.07970552858
136	0.07956835297
137	0.07905423217
138	0.07885372295
139	0.07825705475
140	0.07774421724
141	0.07756612938
142	0.07737623384
143	0.07722387857
144	0.07681003415
145	0.07609231923
146	0.07561734838
147	0.07544203655
148	0.07475990795
149	0.07444500911
150	0.07429230203
151	0.07362805818
152	0.07332571101
153	0.07280660788
154	0.07263872134
155	0.07222614116
156	0.07209516821
157	0.07153762661
158	0.07114727629
159	0.07051671477
160	0.07015202931
161	0.0696231068
162	0.06932099578
163	0.06919016733
164	0.06904962113
165	0.06875548579
166	0.06815612283
167	0.06805599305
168	0.06769699256
169	0.06760180573
170	0.06750982229
171	0.06741022627
172	0.06680642631
173	0.06627185116
174	0.06599490235
175	0.06590749515
176	0.0652457308
177	0.0651755451
178	0.06507443465
179	0.0646443004
180	0.06454056482
181	0.06428767362
182	0.06417532879
183	0.06406548324
184	0.06395805164
185	0.06372129682
186	0.06308580659
187	0.06298244208
188	0.06289397973
189	0.06280760658
190	0.06236124116
191	0.06198848477
192	0.06176910674
193	0.06132428586
194	0.06072561961
195	0.06046663008
196	0.06018116936
197	0.05995419152
198	0.05971249776
199	0.0595538496
